Title;Author;Price;Url
Жизненный цикл корпораций и управление изменениями. ...;Сидорова Е.;1860 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/zhiznennyy-tsikl-korporatsiy-i-upravlenie-izmeneniyami-uchebnoe-posobie
За пределами разума: что мы думаем и как мы к этому ...;Фернандес-Арместо;1194 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/za-predelami-razuma-chto-my-dumaem-i-kak-my-k-etomu-prishli
Сожжение книг;Овенден;1194 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/sozhzhenie-knig
Китайский язык. Обучающие прописи;Карлова М.;239 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/kitayskiy-yazyk-obuchayuschie-propisi
Портреты простым карандашом. Школа рисования;Грей;540 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/portrety-prostym-karandashom-shkola-risovaniya
Самоучитель. Китайский язык для начинающих. Третье о...;Карлова М.;702 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/samouchitel-kitayskiy-yazyk-dlya-nachinayuschih-tretie-obnovlennoe-izdanie-audiokurs
Страна пирамид. Новейшие открытия археологов в Египте;Лебедев М.;1199 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/strana-piramid-noveyshie-otkrytiya-arheologov-v-egipte
Забытые гробницы. Тайны древнеегипетского некрополя;Лебедев М.;1199 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/zabytye-grobnitsy-tayny-drevneegipetskogo-nekropolya
Психофизиология: Учебник для вузов. 5-е издание;Под. ред. Александрова Ю.;2351 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/psihofiziologiya-uchebnik-dlya-vuzov-5-e-izdanie
Реклама: Учебник для вузов. 9-е изд. Стандарт третье...;Ромат Е.;899 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/reklama-uchebnik-dlya-vuzov-9-e-izd-standart-tretiego-pokoleniya
500 самых нужных английских слов и фраз. Флеш-карточ...;;580 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/500-samyh-nuzhnyh-angliyskih-slov-i-fraz-flesh-kartochki-s-russkoy-transkriptsiey
Системное мышление и теория ограничений. Учебное пос...;Сидорова Е.;;https://www.piter.com/collection/nauka-i-obrazovanie/product/sistemnoe-myshlenie-i-teoriya-ogranicheniy-uchebnoe-posobie
Не сдохни на диете. 100+ рецептов для похудения и зд...;Грегер;1679 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/ne-sdohni-na-diete-100-retseptov-dlya-pohudeniya-i-zdorovya
Антропология для гуманитарных и социальных направлен...;Атланов Д.;2999 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/antropologiya-dlya-gumanitarnyh-i-sotsialnyh-napravleniy-uchebnik-dlya-vuzov-standart-tretiego-pokoleniya
500 самых нужных английских слов и фраз. Флеш-карточ...;;574 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/500-samyh-nuzhnyh-angliyskih-slov-i-fraz-flesh-kartochki-2
Квантовые миры и возникновение пространства-времени;Кэрролл;1259 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/kvantovye-miry-i-vozniknovenie-prostranstva-vremeni
А можно я сам? Как пережить кризисы самостоятельност...;Балышева Е.;356 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/a-mozhno-ya-sam-kak-perezhit-krizisy-samostoyatelnosti-rebyonka
Народы России. ДНК-генеалогия;Клёсов А.;599 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/narody-rossii-dnk-genealogiya
Детские болезни: Учебник для вузов (том 2). 9-е изд.;Шабалов Н.;2316 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/detskie-bolezni-uchebnik-dlya-vuzov-tom-2-9-e-izd
Детские болезни: Учебник для вузов (том 1). 9-е изд.;Шабалов Н.;2316 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/detskie-bolezni-uchebnik-dlya-vuzov-tom-1-9-e-izd
Морфология сказки. Исторические корни волшебной сказки;Пропп В.;1728 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/morfologiya-skazki-istoricheskie-korni-volshebnoy-skazki
3D-моделирование в КОМПАС-3D версий V17 и выше. Учеб...;Большаков В.;499 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/3d-modelirovanie-v-kompas-3d-versiy-v17-i-vyshe-uchebnoe-posobie-dlya-vuzov
Надежность и безопасность в жизни и деятельности чел...;Плещиц С.;3049 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/nadezhnost-i-bezopasnost-v-zhizni-i-deyatelnosti-cheloveka-uchebnoe-posobie-standart-tretiego-pokoleniya
Морфология волшебной сказки (#экопокет);Пропп В.;299 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/morfologiya-volshebnoy-skazki-ekopoket
Исторические корни волшебной сказки (#экопокет);Пропп В.;299 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/istoricheskie-korni-volshebnoy-skazki-ekopoket
Теоретический минимум. Специальная теория относитель...;Сасскинд;1235 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/teoreticheskiy-minimum-spetsialnaya-teoriya-otnositelnosti-i-klassicheskaya-teoriya-polya
Человек говорящий. Эволюция и язык (#экопокет);Хомский;;https://www.piter.com/collection/nauka-i-obrazovanie/product/chelovek-govoryaschiy-evolyutsiya-i-yazyk-ekopoket
Идеальная грамотность в экстремальных условиях: ЕГЭ ...;Романова Н.;211 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/idealnaya-gramotnost-v-ekstremalnyh-usloviyah-ege-i-oge-po-russkomu-yazyku
Хмельной ботаник. Путеводитель по алкогольной флоре ...;Стюарт;1679 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/hmelnoy-botanik-putevoditel-po-alkogolnoy-flore-planety-2
Нейропсихология детского возраста: Учебное пособие;Микадзе Ю.;1196 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/neyropsihologiya-detskogo-vozrasta-uchebnoe-posobie
Конституция Российской Федерации с изменениями от 04...;;;https://www.piter.com/collection/nauka-i-obrazovanie/product/konstitutsiya-rossiyskoy-federatsii-s-izmeneniyami-ot-04072020
Выжить в пандемию;Грегер;770 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/vyzhit-v-pandemiyu
500 самых нужных французских слов и фраз. Флеш-карточки;;580 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/500-samyh-nuzhnyh-frantsuzskih-slov-i-fraz-flesh-kartochki
История Отечества. Учебник для военных вузов;Ефремов О.;;https://www.piter.com/collection/nauka-i-obrazovanie/product/istoriya-otechestva-uchebnik-dlya-voennyh-vuzov-2
500 самых нужных корейских слов и фраз. Флеш-карточки;;683 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/500-samyh-nuzhnyh-koreyskih-slov-i-fraz-flesh-kartochki
Наперегонки с эпидемией. Антибиотики против супербак...;Маккарти;697 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/naperegonki-s-epidemiey-antibiotiki-protiv-superbakteriy
Теория менеджмента. Учебник для бакалавров;Зуб А.;2890 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/teoriya-menedzhmenta-uchebnik-dlya-bakalavrov
Разговорный корейский по дорамам: Силачка До Бон Сун;Якименко А.;299 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/razgovornyy-koreyskiy-po-doramam-silachka-do-bon-sun
Цифровое управление инновационными проектами. Учебно...;Меняев М.;1133 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/tsifrovoe-upravlenie-innovatsionnymi-proektami-uchebnoe-posobie-dlya-vuzov
Рик и Морти. Путеводитель по самому гениальному муль...;Брэди;798 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/rik-i-morti-putevoditel-po-samomu-genialnomu-multfilmu-vseh-galaktik
Speak English! Модальные глаголы: can, may, must, ne...;Тляпова А.;227 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/speak-english-modalnye-glagoly-can-may-must-need_23-kartochki
Генетический детектив. От исследования рибосомы к Но...;Рамакришнан;668 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/geneticheskiy-detektiv-ot-issledovaniya-ribosomy-k-nobelevskoy-premii
Любовь и математика. Сердце скрытой реальности;Френкель;944 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/lyubov-i-matematika-serdtse-skrytoy-realnosti
КОМПАС-3D: создание моделей и 3D-печать;Никонов В.;349 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/kompas-3d-sozdanie-modeley-i-3d-pechat
Вселенная. Путешествие во времени и пространстве;Язев С.;662 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/vselennaya-puteshestvie-vo-vremeni-i-prostranstve
Педагогическая психология. Учебное пособие. Стандарт...;Регуш Л.;1451 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/pedagogicheskaya-psihologiya-uchebnoe-posobie-standart-tretiego-pokoleniya-2-e-izd-dopolnennoe
Доктор, я умираю?! Стоит ли паниковать, или Что прак...;Келли;461 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/doktor-ya-umirayu-stoit-li-panikovat-ili-chto-praktikuyuschiy-vrach-znaet-o-vashih-simptomah
Теория и механизмы государственного управления. Учеб...;Рой О.;1650 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/teoriya-i-mehanizmy-gosudarstvennogo-upravleniya-uchebnik-dlya-vuzov
Мода, вера, фантазия и новая физика Вселенной;Пенроуз;911 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/moda-vera-fantaziya-i-novaya-fizika-vselennoy
Суси-нуар 2. Зомби нашего века. Занимательное мурака...;Коваленин Д.;522 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/susi-nuar-2-zombi-nashego-veka-zanimatelnoe-murakamiedenie-ot-podzemki-do-1q84
Суси-нуар 1.Х. Занимательное муракамиЕдение от «Слуш...;Коваленин Д.;522 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/susi-nuar-1h-zanimatelnoe-murakamiedenie-ot-slushay-pesnyu-vetra-do-hronik-zavodnoy-ptitsy
Чумовой доктор. Пугающая и забавная история медицины...;Макэлрой;399 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/chumovoy-doktor-pugayuschaya-i-zabavnaya-istoriya-meditsiny-predislovie-dobrogo-psihiatra
Психотерапия. Учебник для вузов. Стандарт третьего п...;Слабинский  В.;2112 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/psihoterapiya-uchebnik-dlya-vuzov-standart-tretiego-pokoleniya
Английский без барьеров. For beginners. Уровень А1;Гивенталь И.;;https://www.piter.com/collection/nauka-i-obrazovanie/product/angliyskiy-bez-barierov-for-beginners
Детские болезни: Учебник для вузов (том 2). 8-е изд....;Шабалов Н.;2251 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/detskie-bolezni-uchebnik-dlya-vuzov-tom-2-8-e-izd-s-izmeneniyami
Детские болезни: Учебник для вузов (том 1). 8-е изд....;Шабалов Н.;2251 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/detskie-bolezni-uchebnik-dlya-vuzov-tom-1-8-e-izd-s-izmeneniyami
Коммуникационный менеджмент;Акопов Г.;1201 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/kommunikatsionnyy-menedzhment
Маркетинг: освоение профессии. Учебник для вузов.;Азоев Г.;1452 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/marketing-osvoenie-professii-uchebnik-dlya-vuzov
Дискретная математика. Учебник для вузов;Иванов О.;;https://www.piter.com/collection/nauka-i-obrazovanie/product/diskretnaya-matematika-uchebnik-dlya-vuzov
Нейропсихология: Учебник для вузов. 4-е изд.;Хомская Е.;1554 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/neyropsihologiya-uchebnik-dlya-vuzov-4-e-izd
Большое космическое путешествие;Тайсон ;870 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/bolshoe-kosmicheskoe-puteshestvie-2
Военная история. Учебник для военных вузов;Ачкасов Н.;;https://www.piter.com/collection/nauka-i-obrazovanie/product/voennaya-istoriya-uchebnik-dlya-voennyh-vuzov
Психология труда. Учебное пособие. 3-е изд., доп.;Толочёк В.;;https://www.piter.com/collection/nauka-i-obrazovanie/product/psihologiya-truda-uchebnoe-posobie-3-e-izd-dop
Хмельной ботаник. Путеводитель по алкогольной флоре ...;Стюарт;;https://www.piter.com/collection/nauka-i-obrazovanie/product/hmelnoy-botanik-putevoditel-po-alkogolnoy-flore-planety
Тетрадь для записи английских слов_Котенок и кролик;;83 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/tetrad-dlya-zapisi-angliyskih-slov_kotenok-i-krolik
Тетрадь для записи английских слов_Биг-Бен;;83 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/tetrad-dlya-zapisi-angliyskih-slov_big-ben
Приемы объектно-ориентированного проектирования;Гамма;585 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/priemy-obektno-orientirovannogo-proektirovaniya-2
Таблица умножения. Простая система запоминания;Иванов А.;66 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/tablitsa-umnozheniya-prostaya-sistema-zapominaniya-2
Жанры печатных и электронных СМИ. Учебник для вузов....;Ким М.;1261 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/zhanry-pechatnyh-i-elektronnyh-smi-uchebnik-dlya-vuzov-standart-tretiego-pokoleniya
Эгоистичная митохондрия. Как сохранить здоровье и от...;Ноу;299 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/egoistichnaya-mitohondriya-kak-sohranit-zdorovie-i-otodvinut-starost
Книга для родителей  (#экопокет);Макаренко А.;384 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/kniga-dlya-roditeley-ekopoket
Главное о воспитании детей. М. Монтессори, Я. Корчак...;Аникеева Н.;384 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/glavnoe-o-vospitanii-detey-m-montessori-ya-korchak-l-vygotskiy-a-makarenko-e-erikson-ekopoket
Любовь к ребенку  (#экопокет);Корчак;;https://www.piter.com/collection/nauka-i-obrazovanie/product/lyubov-k-rebenku-ekopoket
Бесконечное царство звёзд. Захватывающий мир астрономии;Тайхман;416 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/beskonechnoe-tsarstvo-zvyozd-zahvatyvayuschiy-mir-astronomii
Мозг Будды: нейропсихология счастья, любви и мудрост...;Хансон;384 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/mozg-buddy-neyropsihologiya-schastya-lyubvi-i-mudrosti-ekopoket
Программирование для детей. Учимся создавать сайты, ...;Уитни;1176 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/programmirovanie-dlya-detey-uchimsya-sozdavat-sayty-prilozheniya-i-igry-html-css-i-javascript
Экономика: Учебник для военных вузов. 2-е издание, д...;Габитов А.;1320 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/ekonomika-uchebnik-dlya-voennyh-vuzov-2-e-izdanie-dopolnennoe-i-pererabotannoe
В тени истории. 33 способа остаться в веках, не прив...;Карасюк Д.;449 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/v-teni-istorii-33-sposoba-ostatsya-v-vekah-ne-privlekaya-lishnego-vnimaniya
Как научить ребёнка читать и писать по-английски;Агальцова М.;348 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/kak-nauchit-rebenka-chitat-i-pisat-po-angliyski
500 самых нужных немецких слов и фраз. Флеш-карточки;;580 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/500-samyh-nuzhnyh-nemetskih-slov-i-fraz-flesh-kartochki
Маленькая книга о черных дырах;Габсер;199 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/malenkaya-kniga-o-chernyh-dyrah
Держи мозг в тонусе. Скандинавская методика трениров...;Норденген;289 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/derzhi-mozg-v-tonuse-skandinavskaya-metodika-trenirovki-intellekta
Speak English! Порядок слов в предложении: утвержден...;;227 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/speak-english-poryadok-slov-v-predlozhenii-utverzhdenie-otritsanie-vosklitsanie-vopros_29-kartochek
ЖироГен. Почему мы едим все меньше, тренируемся все ...;Блумберг;594 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/zhirogen-pochemu-my-edim-vse-menshe-treniruemsya-vse-bolshe-a-hudeem-vse-huzhe
Управление деятельностью таможенных органов. Учебник...;Макрусев В.;1914 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/upravlenie-deyatelnostyu-tamozhennyh-organov-uchebnik-dlya-vuzov-standart-tretiego-pokoleniya
Тетрадь для записи иероглифов_Панды;;83 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/tetrad-dlya-zapisi-ieroglifov_pandy
Императорская Россия;Анисимов Е.;1823 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/imperatorskaya-rossiya-3
FreshLife28. Как начать новую жизнь в понедельник и ...;Петряков А.;738 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/freshlife28-kak-nachat-novuyu-zhizn-s-ponedelnika-i-ne-brosit-vo-vtornik
Не сдохни! 100+ рецептов в борьбе за жизнь;Грегер;1961 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/ne-sdohni-100-retseptov-v-borbe-za-zhizn
Теория менеджмента: Учебник для вузов. 3-е издание;Латфуллин Г.;;https://www.piter.com/collection/nauka-i-obrazovanie/product/teoriya-menedzhmenta-uchebnik-dlya-vuzov-3-e-izdanie
Клиническая психология: Учебник для вузов. 5-е изд.;Карвасарский Б.;2063 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/klinicheskaya-psihologiya-uchebnik-dlya-vuzov-5-e-izd-2
Будда и Эйнштейн зашли в бар. Как современные исслед...;Эль;395 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/budda-i-eynshteyn-zashli-v-bar-kak-sovremennye-issledovaniya-mozga-tela-i-energii-pomogut-vam-prodlit-zhizn
Ментальная арифметика: учим математику при помощи аб...;Вендланд ;499 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/mentalnaya-arifmetika
Эпоха застоя. Как это было?;Гаспарян А.;191 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/epoha-zastoya-kak-eto-bylo
Перестройка. Как это было?;Гаспарян А.;191 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/perestroyka-kak-eto-bylo
Оттепель. Как это было?;Гаспарян А.;191 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/ottepel-kak-eto-bylo
Как нас обманывают СМИ. Манипуляция информацией. Пре...;Ильченко С.;199 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/kak-nas-obmanyvayut-smi-manipulyatsiya-informatsiey-predislovie-dmitriy-goblin-puchkov
Апофения;Панчин А.;329 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/apofeniya
Не сдохни! Еда в борьбе за жизнь.;Грегер;1151 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/ne-sdohni-eda-v-borbe-za-zhizn-2
Секретный мир детей в рисунках. Что вы не знаете о с...;Давидо;431 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/sekretnyy-mir-detey-v-risunkah-chto-vy-ne-znaete-o-svoih-detyah
Начала планетарной этики в философии русского космиз...;Безгодов А.;420 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/nachala-planetarnoy-etiki-v-filosofii-russkogo-kosmizma-tom-2
Методология управления: Учебник для вузов;Латфуллин Г.;1020 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/metodologiya-upravleniya-uchebnik-dlya-vuzov
Вся психология в 50 экспериментах. Собака Павлова;Харт-Дэвис ;720 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/vsya-psihologiya-v-50-eksperimentah-sobaka-pavlova
Гравитация. Последнее искушение Эйнштейна;Чаун ;349 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/gravitatsiya-poslednee-iskushenie-eynshteyna
Английский язык. Мои первые слова и фразы. Дидактиче...;;474 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/angliyskiy-yazyk-moi-pervye-slova-i-frazy-didakticheskie-kartochki-60-sht-2
Речевой тренажер. Как говорить по-английски, не запи...;Гивенталь И.;517 р.;https://www.piter.com/collection/nauka-i-obrazovanie/product/rechevoy-trenazher-kak-govorit-po-angliyski-ne-zapinayas-audiokurs_novoe-izdanie
